air_hulu,hujan_hulu,air_lokal,hujan_lokal,status,estimasi_menit
100.32,12.3,41.03,8.45,WASPADA,109
125.15,22.45,92.13,20.53,SIAGA,69
107.06,21.96,95.11,28.86,SIAGA,68
219.92,86.97,106.79,31.0,BAHAYA,20
49.48,13.61,65.68,14.62,WASPADA,140
31.25,0.97,28.21,1.94,AMAN,208
163.76,56.06,149.38,52.76,BAHAYA,15
65.04,9.68,52.68,12.05,WASPADA,150
36.63,1.18,27.35,3.47,AMAN,264
124.35,35.92,88.96,18.61,SIAGA,31
34.55,2.78,15.89,0.63,AMAN,295
82.64,17.0,43.49,6.51,WASPADA,99
109.72,37.56,94.78,16.58,SIAGA,59
64.08,16.64,67.04,13.29,WASPADA,141
216.22,70.81,110.31,65.39,BAHAYA,16
105.09,26.82,72.65,26.73,SIAGA,71
119.1,38.64,84.17,21.77,SIAGA,85
205.74,98.38,119.51,34.04,BAHAYA,9
211.67,97.85,123.14,48.38,BAHAYA,11
216.74,70.64,132.76,34.01,BAHAYA,23
43.98,0.0,24.32,3.01,AMAN,249
57.42,10.46,45.72,12.61,WASPADA,108
128.13,42.04,87.73,20.84,SIAGA,77
32.08,2.82,21.89,1.48,AMAN,197
215.65,49.75,147.04,68.0,BAHAYA,17
234.44,87.09,114.58,77.1,BAHAYA,3
11.06,5.1,25.49,2.9,AMAN,292
89.2,20.57,41.64,14.84,WASPADA,97
166.19,70.06,132.55,49.67,BAHAYA,1
120.59,28.0,83.83,16.68,SIAGA,78
69.47,19.22,57.09,13.43,WASPADA,146
124.05,46.89,86.69,24.47,SIAGA,43
171.04,47.51,130.61,68.42,BAHAYA,15
