air_hulu_cm,hujan_hulu_mm,jungkit_hulu,air_lokal_cm,hujan_lokal_mm,jungkit_lokal,status,estimasi_menit
180.20,0.00,0,185.60,0.00,0,SIAGA,50
216.50,0.00,0,220.40,0.00,0,BAHAYA,0
256.40,0.00,0,259.80,0.00,0,BAHAYA,0
60.20,8.50,30,65.40,4.20,15,AMAN,335
142.50,18.40,65,146.80,14.50,51,WASPADA,118
190.60,28.50,102,194.50,22.40,80,SIAGA,38
236.80,0.00,0,239.50,0.00,0,BAHAYA,0
263.20,0.00,0,265.40,0.00,0,BAHAYA,0
70.40,0.00,0,75.60,0.00,0,AMAN,305
130.50,0.00,0,136.40,0.00,0,WASPADA,135
166.80,0.00,0,170.20,0.00,0,SIAGA,88
222.40,0.00,0,226.50,0.00,0,BAHAYA,0
250.50,0.00,0,254.20,0.00,0,BAHAYA,0
