air_hulu_cm,hujan_hulu_mm,jungkit_hulu,air_lokal_cm,hujan_lokal_mm,jungkit_lokal,status,estimasi_menit
250.59,90.95,114,224.06,77.04,96,BAHAYA,0
161.63,25.09,31,151.14,39.41,49,SIAGA,37
113.4,7.69,10,104.64,16.96,21,WASPADA,173
179.25,40.45,51,201.46,25.01,31,SIAGA,32
238.9,84.5,106,209.48,60.05,75,BAHAYA,0
190.43,34.42,43,158.96,37.77,47,SIAGA,43
225.45,91.29,114,252.82,56.44,71,BAHAYA,0
151.17,34.69,43,172.48,39.34,49,SIAGA,34
96.03,14.48,18,118.31,7.98,10,WASPADA,179
190.52,41.23,52,182.15,49.18,61,SIAGA,37
189.88,38.75,48,169.1,29.5,37,SIAGA,17
119.24,12.31,15,79.71,14.09,18,WASPADA,62
143.96,46.21,58,195.56,41.72,52,SIAGA,47
73.07,16.7,21,92.22,6.48,8,WASPADA,118
72.09,18.1,23,86.55,18.81,24,WASPADA,60
225.85,86.23,108,257.85,50.79,63,BAHAYA,0
94.75,18.91,24,78.21,8.52,11,WASPADA,64
146.16,37.96,47,200.48,39.59,49,SIAGA,17
73.16,12.61,16,114.64,7.82,10,WASPADA,71
21.3,2.75,3,38.84,3.95,5,AMAN,236
121.23,10.2,13,86.63,11.53,14,WASPADA,169
34.68,0.1,0,18.01,1.35,2,AMAN,189
247.76,91.51,114,216.73,69.86,87,BAHAYA,0
102.77,11.28,14,71.15,10.75,13,WASPADA,113
64.31,1.3,2,32.04,0.35,0,AMAN,293
15.92,1.94,2,25.01,2.24,3,AMAN,351
60.34,2.11,3,46.31,0.66,1,AMAN,216
89.11,18.44,23,86.51,17.71,22,WASPADA,136
176.65,36.18,45,198.3,40.52,51,SIAGA,11
76.03,11.26,14,90.62,8.33,10,WASPADA,138
213.35,94.5,118,204.7,67.29,84,BAHAYA,0
219.22,80.66,101,250.84,81.88,102,BAHAYA,0
100.99,10.8,14,106.68,12.67,16,WASPADA,110
57.95,3.92,5,16.71,2.31,3,AMAN,354
49.49,0.68,1,21.15,3.26,4,AMAN,351
109.81,15.71,20,104.17,18.5,23,WASPADA,122
175.66,22.08,28,158.5,22.7,28,SIAGA,21
251.69,50.9,64,223.42,98.14,123,BAHAYA,0
18.95,2.16,3,28.05,0.44,1,AMAN,267
89.89,9.55,12,123.47,13.06,16,WASPADA,119
75.18,12.68,16,97.98,12.98,16,WASPADA,158
74.93,18.78,23,94.94,14.75,18,WASPADA,163
252.52,97.36,122,221.59,94.24,118,BAHAYA,0
230.77,57.48,72,253.51,69.03,86,BAHAYA,0
229.54,66.23,83,249.6,68.32,85,BAHAYA,0
25.94,2.41,3,60.74,2.53,3,AMAN,292
85.8,6.37,8,76.68,18.16,23,WASPADA,68
219.95,60.52,76,260.99,88.27,110,BAHAYA,0
27.45,0.53,1,43.9,3.82,5,AMAN,308
108.32,16.64,21,110.38,11.08,14,WASPADA,73
195.52,31.63,40,149.43,44.11,55,SIAGA,41
212.58,81.27,102,252.73,50.62,63,BAHAYA,0
102.09,9.62,12,110.63,13.14,16,WASPADA,81
42.98,3.49,4,17.41,0.97,1,AMAN,201
200.01,41.24,52,190.94,20.62,26,SIAGA,47
25.83,4.81,6,22.81,1.95,2,AMAN,247
165.82,22.87,29,174.72,38.72,48,SIAGA,56
1.58,2.5,3,28.78,3.22,4,AMAN,267
22.82,3.23,4,4.8,3.18,4,AMAN,305
12.41,1.48,2,61.49,3.97,5,AMAN,263
189.07,37.35,47,193.18,44.98,56,SIAGA,58
84.37,18.2,23,75.57,12.88,16,WASPADA,149
268.59,61.3,77,243.43,82.02,103,BAHAYA,0
110.5,5.5,7,113.61,10.18,13,WASPADA,112
249.65,62.7,78,250.72,62.34,78,BAHAYA,0
207.38,66.99,84,224.12,86.24,108,BAHAYA,0
224.82,66.15,83,229.41,99.39,124,BAHAYA,0
19.7,4.18,5,47.84,2.94,4,AMAN,292
79.29,5.22,7,111.05,13.81,17,WASPADA,125
244.37,50.04,63,243.98,99.61,125,BAHAYA,0
57.69,3.87,5,14.71,1.81,2,AMAN,265
166.55,45.32,57,164.94,28.55,36,SIAGA,51
210.84,84.35,105,256.58,82.9,104,BAHAYA,0
192.39,49.14,61,168.49,25.43,32,SIAGA,56
98.53,19.26,24,109.55,18.35,23,WASPADA,67
159.46,20.1,25,188.42,38.59,48,SIAGA,29
109.93,5.68,7,101.71,10.62,13,WASPADA,60
33.23,1.7,2,46.42,1.3,2,AMAN,293
187.2,26.31,33,198.12,30.38,38,SIAGA,42
137.2,22.08,28,142.23,23.02,29,SIAGA,44
249.05,92.19,115,267.43,66.25,83,BAHAYA,0
123.38,8.3,10,92.49,5.31,7,WASPADA,95
158.87,36.42,46,162.91,42.02,53,SIAGA,41
195.52,45.23,57,166.46,21.15,26,SIAGA,20
219.36,68.71,86,258.67,50.88,64,BAHAYA,0
258.19,80.4,100,266.99,65.47,82,BAHAYA,0
42.44,3.62,5,53.97,2.46,3,AMAN,208
177.82,26.54,33,175.17,39.86,50,SIAGA,40
81.38,11.84,15,102.45,16.78,21,WASPADA,123
258.03,76.78,96,259.5,91.81,115,BAHAYA,0
119.72,11.77,15,69.82,19.77,25,WASPADA,84
123.06,15.51,19,115.32,6.09,8,WASPADA,64
139.82,41.26,52,140.93,34.21,43,SIAGA,27
80.86,6.28,8,89.67,18.41,23,WASPADA,129
27.02,3.18,4,50.41,3.15,4,AMAN,325
184.95,25.85,32,168.51,34.68,43,SIAGA,53
20.89,4.83,6,33.91,2.16,3,AMAN,325
259.82,61.1,76,251.83,66.08,83,BAHAYA,0
68.02,9.17,11,69.19,17.77,22,WASPADA,61
180.27,27.81,35,172.99,47.22,59,SIAGA,36
181.65,20.41,26,171.27,22.26,28,SIAGA,14
66.31,0.41,1,2.01,0.17,0,AMAN,316
138.34,21.33,27,157.72,45.57,57,SIAGA,34
208.37,87.56,109,226.77,53.55,67,BAHAYA,0
85.34,5.52,7,112.39,18.64,23,WASPADA,61
14.87,3.29,4,15.48,0.14,0,AMAN,251
211.81,63.36,79,260.43,60.99,76,BAHAYA,0
111.65,14.39,18,81.85,17.31,22,WASPADA,88
211.57,97.04,121,226.28,88.8,111,BAHAYA,0
228.97,84.35,105,245.39,74.69,93,BAHAYA,0
119.27,6.9,9,131.01,13.44,17,WASPADA,149
204.2,61.68,77,269.18,52.1,65,BAHAYA,0
138.08,39.09,49,197.79,41.19,51,SIAGA,48
220.86,57.0,71,252.06,63.18,79,BAHAYA,0
78.74,11.59,14,113.13,14.16,18,WASPADA,72
221.17,53.5,67,242.72,82.01,103,BAHAYA,0
78.48,17.67,22,125.16,9.02,11,WASPADA,166
211.08,73.66,92,251.98,65.64,82,BAHAYA,0
143.02,21.83,27,143.53,34.98,44,SIAGA,38
157.87,43.0,54,180.59,41.06,51,SIAGA,20
44.5,2.74,3,13.35,4.96,6,AMAN,242
70.32,8.59,11,107.05,16.92,21,WASPADA,123
10.83,0.63,1,17.12,3.3,4,AMAN,304
141.86,30.01,38,199.47,37.41,47,SIAGA,38
13.65,3.88,5,35.06,4.82,6,AMAN,331
253.48,84.67,106,261.48,85.03,106,BAHAYA,0
30.06,4.98,6,48.38,1.84,2,AMAN,203
257.16,97.44,122,223.41,98.28,123,BAHAYA,0
208.85,85.36,107,236.91,88.39,110,BAHAYA,0
98.72,5.35,7,87.38,16.34,20,WASPADA,160
24.27,2.94,4,22.41,0.92,1,AMAN,286
145.37,23.02,29,158.96,27.2,34,SIAGA,56
183.95,20.28,25,201.46,27.4,34,SIAGA,49
159.43,37.5,47,139.43,37.79,47,SIAGA,17
90.73,10.67,13,101.9,5.93,7,WASPADA,137
192.98,33.9,42,170.26,31.39,39,SIAGA,15
8.24,1.79,2,59.54,3.24,4,AMAN,202
184.74,40.84,51,180.0,30.94,39,SIAGA,53
258.07,50.28,63,257.22,96.85,121,BAHAYA,0
193.4,41.59,52,184.21,31.13,39,SIAGA,31
164.38,45.37,57,180.42,40.77,51,SIAGA,18
94.96,15.83,20,74.88,9.07,11,WASPADA,172
235.9,75.13,94,265.12,52.81,66,BAHAYA,0
16.72,1.23,2,18.22,4.53,6,AMAN,285
116.97,11.28,14,133.75,8.9,11,WASPADA,141
28.26,0.96,1,53.29,0.58,1,AMAN,295
15.43,0.89,1,13.81,1.56,2,AMAN,190
34.02,4.48,6,28.09,1.02,1,AMAN,241
33.12,1.25,2,38.41,3.17,4,AMAN,324
266.0,51.33,64,241.56,79.29,99,BAHAYA,0
15.1,4.67,6,24.48,0.04,0,AMAN,291
168.12,33.16,41,193.65,41.76,52,SIAGA,43
30.7,1.55,2,52.35,1.16,1,AMAN,263
123.86,18.22,23,111.05,13.77,17,WASPADA,113
165.26,38.06,48,176.07,46.78,58,SIAGA,47
163.29,41.48,52,144.04,28.18,35,SIAGA,20
89.78,6.89,9,113.98,15.14,19,WASPADA,87
264.95,90.29,113,232.7,50.4,63,BAHAYA,0
80.88,15.01,19,70.74,7.58,9,WASPADA,64
262.99,63.44,79,247.65,68.42,86,BAHAYA,0
231.87,66.85,84,219.66,91.44,114,BAHAYA,0
152.09,29.33,37,153.66,25.01,31,SIAGA,24
101.43,13.48,17,68.81,16.57,21,WASPADA,133
49.04,1.87,2,40.11,4.75,6,AMAN,282
30.3,0.2,0,62.57,0.61,1,AMAN,248
175.52,35.0,44,149.27,43.55,54,SIAGA,31
218.75,75.37,94,258.66,83.87,105,BAHAYA,0
20.67,2.42,3,38.39,2.57,3,AMAN,291
61.41,4.11,5,28.88,4.29,5,AMAN,283
103.34,5.19,6,116.2,13.4,17,WASPADA,93
12.41,3.87,5,11.67,3.31,4,AMAN,184
56.71,4.11,5,8.54,0.55,1,AMAN,194
128.51,14.59,18,109.36,17.08,21,WASPADA,157
144.4,27.98,35,193.07,24.48,31,SIAGA,57
37.86,2.54,3,46.16,1.49,2,AMAN,218
40.14,0.66,1,23.68,2.97,4,AMAN,226
244.46,71.72,90,247.58,72.32,90,BAHAYA,0
139.53,28.93,36,199.26,23.0,29,SIAGA,28
246.68,63.89,80,258.77,88.58,111,BAHAYA,0
124.21,6.7,8,76.35,19.77,25,WASPADA,116
165.19,48.94,61,156.59,42.8,53,SIAGA,47
205.32,83.98,105,229.26,52.83,66,BAHAYA,0
80.35,16.16,20,73.42,8.76,11,WASPADA,68
265.66,80.65,101,266.47,64.94,81,BAHAYA,0
213.18,56.44,71,212.3,56.4,70,BAHAYA,0
56.7,4.8,6,42.13,2.08,3,AMAN,287
41.2,3.71,5,46.09,4.08,5,AMAN,291
201.96,23.2,29,139.18,39.74,50,SIAGA,18
45.5,4.45,6,52.87,2.97,4,AMAN,288
247.06,59.7,75,223.83,93.99,117,BAHAYA,0
10.63,3.6,4,59.09,2.01,3,AMAN,277
227.41,73.04,91,236.73,60.32,75,BAHAYA,0
145.19,21.88,27,171.14,47.19,59,SIAGA,42
26.29,1.79,2,54.71,4.39,5,AMAN,218
20.42,0.0,0,11.03,1.76,2,AMAN,334
80.02,14.54,18,115.24,13.99,17,WASPADA,145
78.4,11.01,14,80.19,13.39,17,WASPADA,88
13.04,4.43,6,24.64,2.25,3,AMAN,271
55.18,2.89,4,54.99,1.8,2,AMAN,345
127.89,14.3,18,120.84,13.0,16,WASPADA,97
130.73,11.64,15,72.29,14.74,18,WASPADA,157
8.92,0.31,0,46.04,0.74,1,AMAN,330
83.36,16.96,21,116.39,7.25,9,WASPADA,61
180.9,34.0,42,165.73,45.8,57,SIAGA,27
118.83,16.25,20,108.01,18.62,23,WASPADA,123
200.25,26.29,33,158.23,31.37,39,SIAGA,18
76.05,13.49,17,90.91,7.38,9,WASPADA,151
154.21,37.26,47,186.73,32.87,41,SIAGA,19
115.07,5.1,6,109.22,16.59,21,WASPADA,177
155.6,20.1,25,192.29,34.02,43,SIAGA,27
117.37,12.19,15,105.37,13.76,17,WASPADA,99
47.35,0.49,1,41.35,4.15,5,AMAN,189
170.91,20.64,26,197.98,46.24,58,SIAGA,44
29.13,2.48,3,16.51,3.44,4,AMAN,310
263.48,52.12,65,259.1,84.23,105,BAHAYA,0
59.78,3.34,4,12.42,2.97,4,AMAN,195
23.16,3.2,4,60.08,0.91,1,AMAN,334
164.85,29.96,37,177.43,43.45,54,SIAGA,20
198.62,37.39,47,140.0,33.59,42,SIAGA,59
129.54,11.99,15,107.33,12.21,15,WASPADA,118
133.81,8.43,11,102.61,7.62,10,WASPADA,172
58.79,0.46,1,49.49,1.0,1,AMAN,226
49.39,3.48,4,61.32,1.92,2,AMAN,253
11.19,3.52,4,47.77,0.02,0,AMAN,192
11.36,4.26,5,37.31,1.58,2,AMAN,233
72.6,13.24,17,96.43,17.46,22,WASPADA,170
192.28,43.48,54,150.89,21.68,27,SIAGA,14
96.74,17.87,22,81.47,16.76,21,WASPADA,179
76.91,15.13,19,78.64,10.94,14,WASPADA,178
19.41,1.14,1,10.8,0.38,0,AMAN,245
258.08,55.27,69,228.49,82.84,104,BAHAYA,0
268.49,98.6,123,238.64,61.42,77,BAHAYA,0
232.91,65.32,82,256.49,89.45,112,BAHAYA,0
159.38,29.06,36,198.64,42.83,54,SIAGA,55
183.75,27.76,35,136.6,33.03,41,SIAGA,37
194.82,28.65,36,136.9,28.96,36,SIAGA,44
140.7,32.93,41,199.01,46.9,59,SIAGA,45
246.22,71.72,90,247.82,67.5,84,BAHAYA,0
218.91,79.58,99,237.33,85.13,106,BAHAYA,0
23.13,3.09,4,34.0,0.57,1,AMAN,220
40.57,3.92,5,20.63,4.97,6,AMAN,352
127.27,10.63,13,76.39,17.0,21,WASPADA,110
50.5,1.96,2,52.85,0.9,1,AMAN,327
71.37,12.65,16,70.34,12.52,16,WASPADA,92
189.73,39.93,50,181.22,46.45,58,SIAGA,44
154.97,34.49,43,179.35,28.06,35,SIAGA,31
16.08,0.99,1,47.58,0.82,1,AMAN,210
184.17,24.96,31,194.23,31.7,40,SIAGA,54
221.91,53.45,67,220.53,52.85,66,BAHAYA,0
160.47,33.48,42,180.14,22.86,29,SIAGA,46
240.08,55.13,69,236.71,69.64,87,BAHAYA,0
232.18,59.56,74,241.68,80.69,101,BAHAYA,0
7.0,4.42,6,26.74,3.5,4,AMAN,213
86.08,15.15,19,123.28,17.07,21,WASPADA,108
253.6,81.18,101,211.56,54.46,68,BAHAYA,0
228.82,66.83,84,248.67,82.79,103,BAHAYA,0
111.55,12.52,16,115.03,16.97,21,WASPADA,75
191.43,49.23,62,185.62,20.83,26,SIAGA,14
8.8,3.86,5,58.16,1.15,1,AMAN,305
77.55,8.63,11,101.43,19.8,25,WASPADA,145
30.61,3.4,4,12.75,1.15,1,AMAN,309
180.61,28.24,35,165.22,37.91,47,SIAGA,48
5.95,3.6,4,45.81,2.09,3,AMAN,212
144.66,42.83,54,138.15,38.79,48,SIAGA,12
13.13,4.61,6,3.03,0.44,1,AMAN,219
151.01,29.96,37,176.12,29.34,37,SIAGA,56
47.49,4.13,5,2.42,3.91,5,AMAN,330
78.69,17.07,21,90.49,5.79,7,WASPADA,69
225.6,90.49,113,251.57,97.37,122,BAHAYA,0
208.81,84.53,106,267.2,76.07,95,BAHAYA,0
47.37,2.5,3,3.37,3.97,5,AMAN,192
169.23,25.98,32,140.5,27.93,35,SIAGA,11
80.17,15.69,20,92.85,17.25,22,WASPADA,106
103.66,19.7,25,79.28,12.17,15,WASPADA,112
154.23,35.33,44,182.66,21.41,27,SIAGA,32
78.31,5.01,6,134.34,18.52,23,WASPADA,93
63.47,2.0,2,10.27,2.31,3,AMAN,320
68.77,5.38,7,115.15,17.58,22,WASPADA,73
80.83,5.3,7,95.58,10.86,14,WASPADA,65
120.86,17.64,22,127.76,9.7,12,WASPADA,72
123.51,18.27,23,115.76,13.39,17,WASPADA,155
104.71,12.32,15,98.44,6.65,8,WASPADA,111
247.57,58.21,73,238.05,90.73,113,BAHAYA,0
2.34,3.11,4,59.96,3.74,5,AMAN,280
186.23,49.8,62,160.53,21.35,27,SIAGA,29
89.02,19.2,24,84.61,16.72,21,WASPADA,101
125.97,10.95,14,78.54,6.98,9,WASPADA,127
267.14,57.69,72,241.39,61.18,76,BAHAYA,0
26.04,1.88,2,10.97,2.75,3,AMAN,337
192.46,21.38,27,182.44,21.22,27,SIAGA,21
131.02,7.0,9,95.91,6.14,8,WASPADA,128
143.36,31.03,39,170.05,21.74,27,SIAGA,53
89.11,12.54,16,121.02,8.01,10,WASPADA,71
137.27,32.48,41,153.15,34.44,43,SIAGA,19
35.4,2.39,3,29.23,0.41,1,AMAN,237
197.56,38.4,48,193.16,32.55,41,SIAGA,54
104.15,16.3,20,116.77,9.04,11,WASPADA,61
77.3,13.98,17,75.75,12.53,16,WASPADA,98
125.63,12.85,16,116.43,6.72,8,WASPADA,100
99.78,9.83,12,75.64,6.88,9,WASPADA,72
30.05,2.87,4,19.65,3.16,4,AMAN,204
156.78,27.21,34,142.38,22.85,29,SIAGA,20
101.85,6.55,8,123.37,18.54,23,WASPADA,145
31.94,2.63,3,26.42,1.23,2,AMAN,266
32.86,4.82,6,11.36,0.57,1,AMAN,327
87.82,15.19,19,68.07,19.19,24,WASPADA,75
113.06,9.59,12,113.71,11.04,14,WASPADA,88
87.65,8.98,11,119.8,5.26,7,WASPADA,117
95.91,5.79,7,123.09,16.51,21,WASPADA,90
269.42,97.14,121,239.48,89.26,112,BAHAYA,0
139.8,22.74,28,172.27,34.83,44,SIAGA,14
262.95,88.76,111,243.06,96.97,121,BAHAYA,0
59.77,2.3,3,64.01,3.93,5,AMAN,196
92.79,18.34,23,69.84,5.18,6,WASPADA,92
259.73,63.94,80,260.37,85.02,106,BAHAYA,0
195.22,27.26,34,195.43,22.79,28,SIAGA,18
119.07,15.01,19,121.45,17.12,21,WASPADA,142
239.37,53.33,67,231.91,61.45,77,BAHAYA,0
85.64,6.8,8,71.09,6.03,8,WASPADA,92
52.27,3.1,4,66.84,2.27,3,AMAN,255
81.35,10.93,14,127.64,15.7,20,WASPADA,166
16.31,0.17,0,37.34,4.4,6,AMAN,299
52.07,1.88,2,37.41,0.42,1,AMAN,270
185.47,44.98,56,186.07,20.33,25,SIAGA,29
